idempresa,flag_salesforce,provincia_principal,ciudad_principal,region
50840180,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51016602,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
102498097,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50768919,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51002735,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50886615,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
102501058,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51055032,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102568933,true,Ciudad de México,Iztapalapa,I24_MX          Lista #01           MXN
102476303,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50964020,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51046572,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50656308,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50657190,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50937778,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
50633408,true,Jalisco,Tonalá,I24_MX          Lista #01           MXN
102553651,true,Ciudad de México,Iztapalapa,I24_MX          Lista #01           MXN
50988201,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
102244049,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51088529,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51387282,true,Ciudad de México,Iztacalco,I24_MX          Lista #01           MXN
50973670,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
102413351,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
102550426,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50989429,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51338778,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
50884244,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50955884,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
102482828,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51030246,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
102555873,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102554536,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50616771,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50764354,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
102567115,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
102330266,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
50998054,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
102547056,true,Edo. de México,Texcoco,I24_MX          Lista #01           MXN
50756466,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
102491964,true,Edo. de México,Ecatepec de Morelos,I24_MX          Lista #01           MXN
51038884,true,Edo. de México,Benito Juárez,I24_MX          Lista #01           MXN
50902332,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
50972362,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
102555148,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
102208623,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102556146,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
102500636,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
102550852,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50946954,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51337178,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51128063,true,Edo. de México,Cuautitlán Izcalli,I24_MX          Lista #01           MXN
51019483,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51158528,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51223024,true,Edo. de México,Ecatepec de Morelos,I24_MX          Lista #01           MXN
102556068,true,Nuevo León,Linares,I24_MX          Lista #02           MXN
102402137,true,Jalisco,Puerto Vallarta,I24_MX          Lista #02           MXN
102491282,true,Nuevo León,Apodaca,I24_MX          Lista #02           MXN
102489386,true,Nuevo León,Santa Catarina,I24_MX          Lista #02           MXN
51238590,true,Nuevo León,San Pedro Garza García,I24_MX          Lista #02           MXN
51187518,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
51300165,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
102551522,true,Nuevo León,Santa Catarina,I24_MX          Lista #02           MXN
51121910,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
50952477,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
102552334,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
102500088,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
50988321,true,Nuevo León,Santa Catarina,I24_MX          Lista #02           MXN
102535902,true,Querétaro,Tequisquiapan,I24_MX          Lista #02           MXN
102446655,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51184544,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
102233072,true,Nuevo León,Santa Catarina,I24_MX          Lista #02           MXN
102294190,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51001641,true,Jalisco,Teuchitlán,I24_MX          Lista #02           MXN
102226255,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51396544,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51165016,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51126117,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
50876158,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51087584,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
50907415,true,Jalisco,Tapalpa,I24_MX          Lista #02           MXN
50842952,true,Michoacán,Morelia,I24_MX          Lista #03           MXN
51052490,true,Aguascalientes,Aguascalientes,I24_MX          Lista #03           MXN
50912067,true,Quintana Roo,Puerto Morelos,I24_MX          Lista #03           MXN
51386506,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
102552747,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
51090305,true,Quintana Roo,Benito Juárez,I24_MX          Lista #03           MXN
51338540,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
51391944,true,Yucatán,Progreso,I24_MX          Lista #03           MXN
51096603,true,Quintana Roo,Benito Juárez,I24_MX          Lista #03           MXN
51259906,true,Coahuila,Saltillo,I24_MX          Lista #03           MXN
51372088,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51128173,true,Puebla,Puebla,I24_MX          Lista #03           MXN
102494728,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
51006832,true,Veracruz,Ursulo Galván,I24_MX          Lista #03           MXN
102467298,true,Baja California Norte,Tijuana,I24_MX          Lista #03           MXN
102367220,true,Hidalgo,Mineral de la Reforma,I24_MX          Lista #03           MXN
51093539,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
51208884,true,Puebla,Zacatlán,I24_MX          Lista #03           MXN
51119813,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51150646,true,Puebla,Zacatlán,I24_MX          Lista #03           MXN
51172812,true,Nayarit,Bahía de Banderas,I24_MX          Lista #03           MXN
50664102,true,Baja California Norte,Ensenada,I24_MX          Lista #03           MXN
51356076,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
102439384,true,Morelos,Atlatlahucan,I24_MX          Lista #03           MXN
102539479,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
102537979,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
102498105,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
102486518,true,Puebla,San Andrés Cholula,I24_MX          Lista #03           MXN
102309195,true,Chihuahua,Chihuahua,I24_MX          Lista #03           MXN
50995768,true,Morelos,Cuernavaca,I24_MX          Lista #03           MXN
102436087,true,Chihuahua,Juárez,I24_MX          Lista #03           MXN
102550720,true,Baja California Sur,Los Cabos,I24_MX          Lista #03           MXN
102511804,true,Sinaloa,Navolato,I24_MX          Lista #03           MXN
50723519,true,Morelos,Tlaltizapán de Zapata,I24_MX          Lista #03           MXN
102511275,true,Quintana Roo,Othón P. Blanco,I24_MX          Lista #03           MXN
102532776,true,Veracruz,Alvarado,I24_MX          Lista #03           MXN
102424595,true,Puebla,Puebla,I24_MX          Lista #03           MXN
51039678,true,Puebla,Puebla,I24_MX          Lista #03           MXN
580320,true,Baja California Norte,Mexicali,I24_MX          Lista #03           MXN
51117182,true,Coahuila,Saltillo,I24_MX          Lista #03           MXN
102547656,true,Tabasco,Villahermosa,I24_MX          Lista #03           MXN
102497297,true,Sinaloa,Mazatlán,I24_MX          Lista #03           MXN
51140562,true,Puebla,San Pedro Cholula,I24_MX          Lista #03           MXN
102239044,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
102532478,true,Guerrero,Acapulco de Juárez,I24_MX          Lista #03           MXN
51181577,true,Sinaloa,Ahome,I24_MX          Lista #03           MXN
102177838,true,Zacatecas,Guadalupe,I24_MX          Lista #03           MXN
